Psychological Construct,Composite-Trait Score
Sense of coherence,14.792924999999997
Balance,-3.113075
Comprehensibility,1.2803749999999994
Manageability,-6.549999999999997
Meaningfulness,-20.1436
Reflection,-20.240400000000005
